Compound Score,Date,Media,Negative Score,Neutral Score,Positive Score,Tweet Ago,Tweet text
-0.6908,Thu Mar 22 22:44:19 +0000 2018,@BBCWorld,0.487,0.513,0.0,1,Syria war: Eastern Ghouta rebels announce ceasefire https://t.co/Thp46pBbPS
0.0,Thu Mar 22 22:34:29 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,Trump replaces McMaster with Bolton https://t.co/KNg4GjKT86
-0.6705,Thu Mar 22 22:18:10 +0000 2018,@BBCWorld,0.224,0.776,0.0,1,At least half a million children are being affected by war in Ukraine's Donbass region. One woman is on a mission t… https://t.co/0DzONJuOHi
0.25,Thu Mar 22 21:46:45 +0000 2018,@BBCWorld,0.099,0.755,0.146,1,"The Islamic State group destroyed their library in Mosul, but these sisters are determined to rebuild it https://t.co/RdplMbDkBd"
0.128,Thu Mar 22 21:03:07 +0000 2018,@BBCWorld,0.0,0.842,0.158,1,Sex doll 'brothel': Xdolls escapes Paris council censure https://t.co/QZM1X7drDN
0.0,Thu Mar 22 19:15:59 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,Kenya payout for mother made to deliver on hospital floor https://t.co/PkFKaUlP46
0.4973,Thu Mar 22 19:15:59 +0000 2018,@BBCWorld,0.0,0.624,0.376,1,Dapchi kidnap: Government 'will not abandon' lone hostage https://t.co/E0Ltn9dRMA
0.0,Thu Mar 22 18:20:44 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,Meet SoFi - the soft robot fish developed by MIT https://t.co/cDDnAX7sT3
0.5106,Thu Mar 22 18:17:09 +0000 2018,@BBCWorld,0.0,0.602,0.398,1,Viral teacher's inspirational chalkboard PC https://t.co/T84VYR5KKp
0.0,Thu Mar 22 18:15:23 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,RT @bbclaurak: Tusk - EU moving trade debate tomorrow because Trump tariff announcements only just coming through
0.0,Thu Mar 22 17:26:48 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,Israeli man fined for urinating on memorial at Auschwitz https://t.co/97RyykWstx
0.34,Thu Mar 22 17:20:30 +0000 2018,@BBCWorld,0.0,0.893,0.107,1,"RT @BBCSport: Ireland have been handed a big 2019 World Cup lifeline.

Victory over Afghanistan on Friday will secure them a place.

👉 http…"
-0.5423,Thu Mar 22 16:59:39 +0000 2018,@BBCWorld,0.28,0.72,0.0,1,Police video shows fatal shooting of unarmed black man https://t.co/veNxSoMdLg
0.0,Thu Mar 22 16:15:47 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,EU and six other countries exempted from US metals tariffs https://t.co/IGSIUW3XDz
-0.128,Thu Mar 22 15:50:31 +0000 2018,@BBCWorld,0.207,0.631,0.162,1,Donald Trump's top Russia lawyer John Dowd resigns https://t.co/zrhg8tuw8u
0.0,Thu Mar 22 15:40:24 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,"Skating Lake Baikal, the world's deepest lake https://t.co/fLp0IU6jdw"
0.0,Thu Mar 22 14:55:08 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,Cambridge Analytica taken to court over data storage https://t.co/98vGGTl7Tk
-0.6705,Thu Mar 22 14:54:46 +0000 2018,@BBCWorld,0.29,0.539,0.172,1,"Serving six years for killing her abusive ex-partner, Gloria Chochi is hoping for a rare pardon from the Spanish pr… https://t.co/Swu1dEgJ3g"
0.1779,Thu Mar 22 14:33:39 +0000 2018,@BBCWorld,0.215,0.519,0.267,1,Ukraine arrests pilot hero Savchenko over 'coup plot' https://t.co/5VQbpFkHDM
-0.5106,Thu Mar 22 14:27:54 +0000 2018,@BBCWorld,0.248,0.752,0.0,1,Dapchi kidnap: Nigerian father's pain as daughter flies to Abuja https://t.co/5ffmh4kEY1
-0.7184,Thu Mar 22 14:22:27 +0000 2018,@BBCWorld,0.5,0.5,0.0,1,YouTube gun ban drives bloggers to PornHub https://t.co/TCcECpXlER
0.0,Thu Mar 22 14:17:41 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,Dutch parliament halted as man jumps from public gallery https://t.co/tZaUQxIvNu
0.0,Thu Mar 22 14:17:41 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,Cynthia Nixon and 10 other celebrities who entered politics https://t.co/kVGCHrgeZW
0.0,Thu Mar 22 13:49:56 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,Nigerian girls tell of kidnap ordeal https://t.co/f4XspTaAp2
-0.6249,Thu Mar 22 13:37:39 +0000 2018,@BBCWorld,0.254,0.746,0.0,1,Meet Louis - the gorilla who walks upright to avoid getting his hands - or food - dirty. 🦍🍅🍅 https://t.co/tpZfzGhMc1
-0.1531,Thu Mar 22 13:37:10 +0000 2018,@BBCWorld,0.167,0.833,0.0,1,Miss Venezuela to close temporarily over corruption claims https://t.co/eMOQoeDbtc
0.0,Thu Mar 22 13:24:26 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,Austria recalls diplomat from Israel over Nazi shirt https://t.co/NesdwRc0zN
0.4854,Thu Mar 22 13:21:44 +0000 2018,@BBCWorld,0.0,0.813,0.187,1,"RT @BBC_HaveYourSay: Iran Supreme Leader Ali Khamenei is telling his people to support Iranian products, but Twitter responds with a photo…"
-0.3182,Thu Mar 22 13:16:07 +0000 2018,@BBCWorld,0.247,0.753,0.0,1,Iranian officials mocked for using foreign products https://t.co/akjRMAbD9U
0.2263,Thu Mar 22 12:44:28 +0000 2018,@BBCWorld,0.0,0.808,0.192,1,Tennessee grants $1 million to wrongly convicted man https://t.co/2OVUvE0UEJ
-0.1779,Thu Mar 22 12:28:36 +0000 2018,@BBCWorld,0.141,0.743,0.115,1,"RT @BBCSteveR: Commenting on the Skripal poisoning, one Russian paper today resorts to black humour:
The phone rings in Downing Street. 
-…"
-0.296,Thu Mar 22 11:44:32 +0000 2018,@BBCWorld,0.167,0.833,0.0,1,South Korea to shut off computers to stop people working late https://t.co/EM7AtkXQNi
0.3818,Thu Mar 22 11:20:53 +0000 2018,@BBCWorld,0.0,0.776,0.224,1,Florida school shooting students told to wear clear backpacks https://t.co/MjGowxfchq
-0.6908,Thu Mar 22 10:59:32 +0000 2018,@BBCWorld,0.416,0.584,0.0,1,Syria war: Rebels 'begin leaving key Eastern Ghouta town' https://t.co/gQ0uQjCp3l
0.0,Thu Mar 22 10:37:31 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,Deadly blast at Czech chemical plant https://t.co/LROFE8ejLO
-0.4549,Thu Mar 22 10:29:12 +0000 2018,@BBCWorld,0.271,0.729,0.0,1,Uber self-driving crash: Footage shows moment before impact https://t.co/sv38LCP7ot
-0.836,Thu Mar 22 09:54:21 +0000 2018,@BBCWorld,0.53,0.47,0.0,1,Freiburg murder: Afghan jailed for life in Germany https://t.co/cqkwAQbpXw
0.0,Thu Mar 22 09:50:00 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,"Curiosity rover: 2,000 days on Mars https://t.co/ZZMhZadyeC"
0.0,Thu Mar 22 09:30:17 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,Dutch referendum: Spy tapping powers vote too close to call https://t.co/uIuBfhiM7M
-0.836,Thu Mar 22 09:25:17 +0000 2018,@BBCWorld,0.53,0.47,0.0,1,Eleven jailed for life over India 'beef' murder https://t.co/jubZMnEFC6
0.0,Thu Mar 22 09:25:15 +0000 2018,@BBCWorld,0.0,1.0,0.0,1,UK passports 'to be made in France after Brexit' https://t.co/pw72XL471C
-0.6249,Thu Mar 22 09:25:15 +0000 2018,@BBCWorld,0.362,0.638,0.0,1,Rebel Wilson: Australia media firms fail in defamation case bid https://t.co/q9T71wtAMU
-0.5859,Thu Mar 22 09:25:15 +0000 2018,@BBCWorld,0.324,0.676,0.0,1,Theresa May to warn EU leaders of Russian threat to democracy https://t.co/JMRLEigKZL
